episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
1,1045,1045,-0.402619,0.392827,1
2,3545,2500,-0.079747,0.110229,0
3,6045,2500,-0.347767,0.067208,0
4,8545,2500,-0.384989,0.046145,0
5,10440,1895,-0.713990,0.078184,1
6,12940,2500,-0.426927,0.063689,0
7,15440,2500,-0.435834,0.055562,0
8,17940,2500,-1.035420,0.052514,0
9,18297,357,-0.233557,0.081986,1
10,20797,2500,-0.584256,0.060343,0
11,21363,566,-0.342013,0.081938,1
12,23863,2500,-0.348240,0.077892,0
13,26363,2500,-0.010093,0.072442,0
14,28863,2500,-0.003038,0.063217,0
15,31363,2500,-0.558388,0.059266,0
16,33863,2500,-0.005057,0.056639,0
17,36363,2500,-0.006161,0.052679,0
18,38863,2500,-0.001259,0.050644,0
19,41363,2500,-0.000898,0.046691,0
20,43863,2500,-0.000180,0.050791,0
21,46363,2500,-0.000166,0.044216,0
22,48863,2500,0.000831,0.046028,0
23,51363,2500,-0.126819,0.033482,0
24,53863,2500,-0.018878,0.035155,0
25,56363,2500,-0.001353,0.037213,0
