episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
419,330366,800,0.482874,0.472756,0
420,331166,800,0.442694,0.475930,0
421,331966,800,0.366869,0.471730,0
422,332766,800,0.030448,0.476317,0
423,333566,800,0.385172,0.483847,0
424,334366,800,0.451593,0.481166,0
425,335166,800,0.434151,0.483551,0
426,335966,800,0.513156,0.478944,0
427,336766,800,0.334565,0.481069,0
428,337566,800,0.439956,0.479531,0
429,338366,800,0.305517,0.484697,0
430,339166,800,0.426703,0.473094,0
431,339966,800,0.127901,0.454200,0
432,340766,800,0.382261,0.459130,0
433,341566,800,0.396641,0.453356,0
434,342366,800,0.390489,0.447865,0
435,343166,800,0.456205,0.452322,0
436,343966,800,0.399216,0.447162,0
437,344766,800,0.459847,0.452001,0
438,345566,800,0.474393,0.439699,0
439,346366,800,-0.333468,0.440224,0
440,347166,800,0.278077,0.436500,0
441,347966,800,0.466128,0.419459,0
